team_in_possession,ball_zone_x,ball_zone_y,mean_norm_hull,mean_dist_k,n_frames
Croatia,9,4,28.85155799872932,5.274290028933119,12
Croatia,9,5,40.27802096119556,5.995161015837277,12
Croatia,9,6,53.58330758539992,7.323553787549993,18
Croatia,9,7,47.417740223319974,10.946893312393872,37
Croatia,10,0,38.44103349256959,11.643887728464923,14
Croatia,10,1,40.47528940401358,7.875131927562652,11
Croatia,10,7,38.79776840313239,11.828884673156038,12
Czech Republic,0,3,74.25824020131853,20.730033609060484,12
Czech Republic,0,4,60.52603795413981,30.942948563041924,15
Czech Republic,1,4,67.54385881958848,17.7132614293541,15
Czech Republic,2,5,70.3908962419847,13.139293803449787,11
Czech Republic,3,3,69.52167266908872,9.132315451235918,10
Czech Republic,4,0,77.9377188423165,9.122048235009391,10
Czech Republic,4,1,71.23596664662308,13.553466327534123,13
Czech Republic,4,2,67.95752309097968,11.883920270489908,13
Czech Republic,4,3,70.29924776534968,15.264367240328491,12
Czech Republic,4,5,63.54598303307747,11.522437037783282,18
Czech Republic,4,6,71.95103646356672,11.752285493559908,10
Czech Republic,5,2,59.19277387002412,13.376002496580348,11
Czech Republic,5,3,59.42418350657044,12.46844889739098,13
Czech Republic,5,4,61.6059076898098,9.846674909014236,14
Czech Republic,5,5,66.60512197274036,11.554016007090123,16
Czech Republic,5,6,68.75004891216835,13.222140740038967,10
Czech Republic,5,7,65.14236774890412,12.087902669907113,13
Czech Republic,6,0,73.97530867691391,11.567471626914498,12
Czech Republic,6,2,60.23027780317622,11.235450785209082,11
Czech Republic,6,4,56.943335039749584,12.039643087814339,14
Czech Republic,6,5,64.14964378078784,10.095288340770281,13
Czech Republic,6,7,68.77819344092167,13.074989006072578,13
Czech Republic,7,0,72.35569964482691,10.172106339122315,23
Czech Republic,7,2,54.937639938879734,12.371801913844667,13
Czech Republic,7,4,43.918042116133925,9.83923317353874,11
Czech Republic,7,5,53.4255995679813,9.055797415761713,15
Czech Republic,7,6,56.89760195234722,8.589102141657436,24
Czech Republic,7,7,60.44885324032063,10.004484720679054,23
Czech Republic,8,0,64.8721919669736,12.165092635586648,17
Czech Republic,8,1,54.77883283077712,9.535147448138941,15
Czech Republic,8,5,39.63122223828475,6.852807877120423,15
Czech Republic,8,6,52.19014482519798,7.256778510858635,24
Czech Republic,8,7,60.20865275650343,8.633137723573363,18
Czech Republic,9,0,58.194152739729375,10.695625880505077,14
Czech Republic,9,1,49.0117281277696,9.386834701794704,12
Czech Republic,9,3,36.96506633629506,5.606714006763683,10
Czech Republic,9,5,53.06662183083284,6.563402100481027,11
Czech Republic,9,6,36.71643492824755,6.998222611799329,13
Czech Republic,9,7,48.26344895760915,8.328929392038914,19
Czech Republic,10,0,33.93583868441795,11.77454156605095,11
Czech Republic,10,6,38.12011105752633,6.970363882739885,10
Czech Republic,10,7,32.219101719460085,14.697391960408265,21
Czech Republic,11,7,19.815309586540963,24.546987261395707,10
Denmark,0,3,70.63953682383713,19.833743766876136,15
Denmark,0,4,57.399034867207476,21.803822098238633,13
Denmark,1,1,57.39199487121028,12.807424767616622,13
Denmark,1,2,67.38821982518259,14.5414590177207,14
Denmark,1,4,49.07112199317994,17.73099160584213,16
Denmark,2,0,57.43985071737304,13.283874197417424,19
Denmark,2,1,47.55728103774221,12.619272851447413,22
Denmark,2,2,47.79569233647995,10.751944082127126,26
Denmark,2,3,43.957949701951705,11.767363174379147,14
Denmark,2,5,43.66576317139591,13.270282025207804,13
Denmark,2,6,72.69264247797648,12.807946278276114,10
Denmark,2,7,52.47487135484407,14.079670821887401,13
Denmark,3,0,56.25095092739784,11.341417772536936,18
Denmark,3,1,54.98919673321565,11.665688756499208,21
Denmark,3,2,51.413470271612084,10.92981741992557,18
Denmark,3,3,57.5369255837783,11.119709069583893,19
Denmark,3,4,50.36178727599513,12.629161058863177,28
Denmark,3,5,54.38210499765855,14.009132237887135,31
Denmark,3,6,52.377685081173034,12.499796786043843,17
Denmark,3,7,63.96985603532055,13.595366443374289,16
Denmark,4,0,61.78082218498094,11.78941580074413,16
Denmark,4,1,52.149634681455545,10.492732634904387,32
Denmark,4,2,50.328658587140794,10.751519224580464,43
Denmark,4,3,47.69938937642802,10.806267112523148,32
Denmark,4,4,52.059805642732904,11.008166692534417,37
Denmark,4,5,54.408576974171744,11.104810520253498,55
Denmark,4,6,53.336140847302694,12.165553313890715,36
Denmark,4,7,69.39703276411205,13.16401116520774,16
Denmark,5,0,65.31286651415186,11.081393425753895,22
Denmark,5,1,55.64496572858331,9.747000782048117,28
Denmark,5,2,52.43457868525034,10.241578563839603,51
Denmark,5,3,48.9539535640014,9.856507919162796,68
Denmark,5,4,45.99787206754107,10.080553713446866,59
Denmark,5,5,47.22519585212181,10.331510118775359,61
Denmark,5,6,53.13972842654236,12.047650660708275,40
Denmark,5,7,60.89961739432358,12.02958540759186,34
Denmark,6,0,64.11786507476867,11.903530466820897,23
Denmark,6,1,54.43578391226281,9.584357946829636,29
Denmark,6,2,52.607638397846515,10.102412121054371,50
Denmark,6,3,47.43014778230515,9.642482924487743,52
Denmark,6,4,46.46738208920873,9.307127410807915,48
Denmark,6,5,52.429645948643795,9.682310104599326,36
Denmark,6,6,54.47290364421222,9.356575592669518,40
Denmark,6,7,55.5830859194929,12.036203592700295,47
Denmark,7,0,61.804564713729484,11.825633671592982,36
Denmark,7,1,49.59544168893863,10.466149833709629,38
Denmark,7,2,46.84660767589075,7.924254459009867,33
Denmark,7,3,50.74044287322145,7.981595849990938,28
Denmark,7,4,45.70755103013714,7.504493487659634,26
Denmark,7,5,47.72589418562698,7.876146425184994,36
Denmark,7,6,52.034600699458004,8.685248184982505,33
Denmark,7,7,58.480694992974584,10.788374989815699,51
Denmark,8,0,56.98197787828106,10.737964326145498,23
Denmark,8,1,49.5149629248399,9.041352447492082,19
Denmark,8,2,41.0888326858174,7.211355987452242,22
Denmark,8,3,38.72735013073625,5.990843871647487,11
Denmark,8,4,37.57007930327593,7.291829409992369,14
Denmark,8,5,45.25893818732056,7.417891066648528,23
Denmark,8,6,47.85665068803981,8.762938619326292,29
Denmark,8,7,52.68492363836206,11.303754160203566,23
Denmark,9,0,45.05327885029058,10.56897619180642,22
Denmark,9,1,43.78585112088003,7.655788361486975,25
Denmark,9,2,36.23063343971759,5.896646859436469,16
Denmark,9,5,32.44467067113263,6.622587076879734,22
Denmark,9,6,34.69547115438727,9.145343216901377,15
Denmark,9,7,43.706577778125144,11.935854843044526,23
Denmark,10,0,35.426538612374245,10.97120116017398,10
Denmark,10,6,29.211285262490275,9.276364990615969,11
Denmark,10,7,32.78707647033078,12.211222086360305,13
Denmark,11,6,28.01433444953358,10.866181793028446,11
Denmark,11,7,22.685561134779153,21.969037333295876,16
England,0,1,51.49910955811937,15.037902721324695,10
England,0,2,65.7595656354684,22.147314185331734,11
England,0,3,78.68034139699695,18.599214480705008,37
