player,team,urs_sum,off_ball_potential_sum,off_ball_captured_sum,xepv_mean,n_confident_candidates,n_received,receiver_conf_rate,primary_role,minutes_played,macro_role,urs_per90,off_ball_potential_per90,n_confident_per90,capitalization_rate,latency_rate,urs_pct_within_role,potential_pct_within_role,xepv_mean_pct_within_role,latency_pct_within_role
Jonas Older Wind,Denmark,1.2680938214724466,1.926438306959121,0.6583444854866743,0.01767374593540478,109,34,0.3119266055045872,Center Attacking Midfield,197,CAM,0.5793322027031482,0.8800987189153344,49.796954314720814,0.34174179526458326,0.6582582047354167,85.0,70.0,45.0,85.0
Florian Grillitsch,Austria,1.2580716600448616,2.5157253497081764,1.2576536896633148,0.01655082466913274,152,68,0.4473684210526316,Left Defensive Midfield,196,MID,0.5776859663471303,1.1551800075190606,69.79591836734694,0.499916928455327,0.500083071544673,72.3,80.0,84.6,26.2
Youri Tielemans,Belgium,0.9839123999027914,1.9065283640362516,0.92261596413346,0.015375228742227836,124,55,0.4435483870967742,Right Defensive Midfield,154,MID,0.5750137402029301,1.1142048880731341,72.46753246753246,0.48392459379949565,0.5160754062005044,70.8,76.9,72.3,43.1
Riccardo Calafiori,Italy,1.7686081877242776,2.791427171029194,1.0228189833049162,0.012032013668229284,232,78,0.33620689655172414,Left Center Back,277,CB,0.5746380393327978,0.906961896724287,75.37906137184116,0.3664143538904526,0.6335856461095474,96.7,95.1,83.6,93.4
Jules Koundé,France,3.703359031189874,6.009207325620778,2.3058482944309047,0.015608330715898126,385,137,0.35584415584415585,Right Back,583,FB,0.5717020802866014,0.9276649387750774,59.43396226415094,0.3837192111178657,0.6162807888821342,91.2,80.7,68.4,80.7
Martín Zubimendi Ibáñez,Spain,0.9063542807894334,1.6821066774775757,0.7757523966881423,0.013675664044533136,123,51,0.4146341463414634,Right Defensive Midfield,143,MID,0.5704327641332099,1.0586685382726,77.41258741258741,0.461179072097515,0.5388209279024849,69.2,72.3,41.5,60.0
Jude Bellingham,England,4.231523436574179,7.789500477040739,3.55797704046656,0.01766326638784748,441,203,0.4603174603174603,Center Attacking Midfield,668,CAM,0.5701154330713714,1.0494835972060876,59.41616766467065,0.4567657516619409,0.5432342483380591,80.0,85.0,40.0,40.0
Marc Cucurella Saseta,Spain,3.5089760339378686,6.424833485147386,2.9158574512095172,0.017364414824722663,370,153,0.4135135135135135,Left Back,555,FB,0.5690231406385733,1.04186488948336,60.0,0.45384171557912795,0.5461582844208721,89.5,89.5,87.7,29.8
Philipp Mwene,Austria,1.220239263013047,2.1420337951664012,0.9217945321533544,0.019125301742557155,112,44,0.39285714285714285,Left Back,194,FB,0.5660903797483208,0.9937270183761656,51.95876288659793,0.4303361292587571,0.5696638707412429,87.7,87.7,94.7,49.1
Theo Bernard François Hernández,France,3.6877945112081196,6.442714545254795,2.754920034046675,0.016999246821252756,379,158,0.41688654353562005,Left Back,587,FB,0.5654199420932381,0.9878097258482649,58.10902896081771,0.42760237392105727,0.5723976260789427,86.0,86.0,84.2,50.9
Matteo Darmian,Italy,0.9981826869915515,1.6685370681574776,0.6703543811659259,0.014765814762455554,113,39,0.34513274336283184,Left Back,159,FB,0.5650090681084254,0.9444549442400816,63.96226415094339,0.401761755227998,0.598238244772002,84.2,82.5,52.6,64.9
Nuno Mendes,Portugal,2.6280904026516287,4.918307348862616,2.290216946210987,0.013586484389123247,362,164,0.4530386740331492,Left Back,421,FB,0.5618245516357401,1.0514196232722932,77.38717339667458,0.46565144952574217,0.5343485504742578,82.5,91.2,35.1,24.6
Kylian Mbappé Lottin,France,2.911012137470558,5.245841850468435,2.334829712997877,0.025969514111229875,202,82,0.40594059405940597,Center Forward,469,WIDE,0.5586164016468022,1.0066647474246464,38.76332622601279,0.44508198675287647,0.5549180132471235,83.8,89.2,100.0,29.7
Kyle Walker,England,4.276557140682489,7.549149585400485,3.272592444717996,0.014163507664916484,533,220,0.41275797373358347,Right Back,690,FB,0.5578118009585855,0.9846716850522372,69.52173913043478,0.43350478192231817,0.5664952180776819,80.7,84.2,42.1,47.4
Trent Alexander-Arnold,England,0.8307635089405006,1.5556096824267045,0.7248461734862041,0.013410428296781936,116,49,0.4224137931034483,Right Defensive Midfield,135,MID,0.553842339293667,1.037073121617803,77.33333333333333,0.4659563267538074,0.5340436732461926,67.7,67.7,33.8,53.8
Rúben Santos Gato Alves Dias,Portugal,2.5597109950702626,4.271866800434028,1.7121558053637653,0.012310855332662903,347,138,0.3976945244956772,Right Center Back,422,CB,0.5459099278585868,0.9110616399029917,74.00473933649289,0.40079803171526973,0.5992019682847303,95.1,96.7,85.2,77.0
Bernardo Mota Veiga de Carvalho e Silva,Portugal,2.490356469697792,4.248787462279528,1.7584309925817359,0.016596826024529405,256,108,0.421875,Right Wing,422,WIDE,0.531118678371567,0.9061395061733589,54.59715639810427,0.4138665462071185,0.5861334537928815,81.1,83.8,29.7,43.2
Antoine Griezmann,France,2.345771556427367,4.47128154243818,2.1255099860108135,0.019872362410836356,225,92,0.4088888888888889,Center Attacking Midfield,405,CAM,0.5212825680949704,0.9936181205418178,50.0,0.47536930203052646,0.5246306979694735,75.0,80.0,75.0,20.0
Ivan Ilić,Serbia,1.1998265711661047,1.9568073905398617,0.756980819373757,0.013780333736196209,142,48,0.3380281690140845,Right Defensive Midfield,208,MID,0.5191557279084107,0.8466955055220556,61.44230769230769,0.386844828486116,0.613155171513884,66.2,53.8,46.2,93.8
Jerdy Schouten,Netherlands,2.9529097816353063,5.262350415118829,2.3094406334835225,0.014146103266448464,372,141,0.3790322580645161,Right Defensive Midfield,515,MID,0.5160424861110244,0.9196340531275622,65.00970873786407,0.4388610509190831,0.5611389490809169,64.6,58.5,52.3,70.8
Daniel Carvajal Ramos,Spain,2.7116149545294705,4.869656935271798,2.158041980742327,0.015313386588905024,318,130,0.4088050314465409,Right Back,475,FB,0.5137796755950576,0.9226718403672881,60.25263157894737,0.4431609884284131,0.5568390115715869,78.9,78.9,63.2,38.6
Ferdi Erenay Kadıoğlu,Turkey,2.6323901538404764,4.433275973568441,1.8008858197279642,0.015833128477030146,280,97,0.3464285714285714,Left Back,464,FB,0.5105929177707821,0.8599026672869822,54.310344827586206,0.4062201023498187,0.5937798976501814,77.2,77.2,73.7,59.6
Alessandro Bastoni,Italy,2.1115073838050726,3.756522321677808,1.6450149378727352,0.011113971365910674,338,123,0.363905325443787,Right Center Back,373,CB,0.5094789934114117,0.9063994878042968,81.5549597855228,0.4379090012003464,0.5620909987996536,93.4,93.4,62.3,47.5
Orkun Kökçü,Turkey,1.3033800787736836,2.2119845850109394,0.9086045062372556,0.017838585362991446,124,51,0.4112903225806452,Center Attacking Midfield,231,CAM,0.5078104203014352,0.8618121759782882,48.311688311688314,0.41076439338421616,0.5892356066157838,70.0,65.0,55.0,65.0
Joey Veerman,Netherlands,1.1392882785941996,2.3341947620172414,1.1949064834230416,0.015256174915145368,153,73,0.477124183006536,Left Defensive Midfield,204,MID,0.5026271817327351,1.0297918067723124,67.5,0.511913788372307,0.48808621162769295,63.1,66.2,70.8,16.9
Nicholas Williams Arthuer,Spain,2.7104271377272235,4.71814568909932,2.007718551372096,0.0235907284454966,200,74,0.37,Left Wing,492,WIDE,0.49580984226717506,0.8630754309328024,36.58536585365854,0.4255312751385945,0.5744687248614055,78.4,78.4,94.6,37.8
Kobbie Mainoo,England,2.0572528545579782,3.878626219243927,1.821373364685949,0.01771062200568003,219,95,0.4337899543378995,Right Defensive Midfield,376,MID,0.49242754497398417,0.9283945737551954,52.42021276595745,0.4695923921849306,0.5304076078150695,61.5,60.0,96.9,47.7
Arthur Theate,Belgium,1.3903824043802022,2.276927198546598,0.886544794166396,0.011499632315891909,198,70,0.35353535353535354,Left Back,255,FB,0.4907232015459538,0.803621364192917,69.88235294117648,0.38936018452074045,0.6106398154792596,75.4,68.4,10.5,77.2
Kenan Yildiz,Turkey,1.8504280843433945,3.0546550006928825,1.204226916349488,0.020922294525293716,146,55,0.3767123287671233,Left Wing,340,WIDE,0.4898191987967809,0.8085851472422336,38.647058823529406,0.3942268164739832,0.6057731835260167,75.7,75.7,81.1,56.8
Jannik Vestergaard,Denmark,1.9648339653095905,3.314414268857892,1.3495803035483016,0.011048047562859641,300,110,0.36666666666666664,Center Back,365,CB,0.4844796078845566,0.8172528334170144,73.97260273972603,0.4071851597517262,0.5928148402482738,91.8,88.5,60.7,73.8
