match,match_id,n_sampled,backward_n,backward_acc,backward_conf_share,backward_acc_conf,bracket_n,bracket_acc,bracket_conf_share,bracket_acc_conf
Spain vs Germany,3942226,40,29,0.2413793103448276,0.3103448275862069,0.7777777777777778,39,0.6923076923076923,0.5897435897435898,0.9130434782608695
Ukraine vs Belgium,3938645,40,31,0.22580645161290322,0.1935483870967742,0.8333333333333334,39,0.8717948717948718,0.5641025641025641,1.0
Czech Republic vs Turkey,3930184,40,30,0.13333333333333333,0.13333333333333333,0.75,35,0.6857142857142857,0.42857142857142855,1.0
Austria vs Turkey,3941022,40,32,0.09375,0.125,0.5,40,0.625,0.55,0.9090909090909091
Romania vs Netherlands,3941021,40,29,0.20689655172413793,0.13793103448275862,0.75,33,0.6363636363636364,0.42424242424242425,0.9285714285714286
Portugal vs Slovenia,3941020,40,24,0.08333333333333333,0.08333333333333333,1.0,35,0.7428571428571429,0.5428571428571428,1.0
Spain vs Georgia,3941018,40,30,0.23333333333333334,0.2,1.0,37,0.7297297297297297,0.5675675675675675,0.9523809523809523
England vs Slovakia,3941017,40,27,0.2222222222222222,0.14814814814814814,1.0,36,0.7222222222222222,0.4722222222222222,1.0
Denmark vs Serbia,3930182,40,31,0.16129032258064516,0.0967741935483871,1.0,36,0.7777777777777778,0.5555555555555556,1.0
Albania vs Spain,3930179,40,34,0.14705882352941177,0.14705882352941177,0.6,39,0.7435897435897436,0.48717948717948717,0.9473684210526315
Germany vs Denmark,3940983,40,35,0.11428571428571428,0.14285714285714285,0.6,38,0.7105263157894737,0.5263157894736842,1.0
Switzerland vs Italy,3940878,40,34,0.14705882352941177,0.17647058823529413,0.6666666666666666,39,0.6666666666666666,0.6410256410256411,0.88
Scotland vs Hungary,3930177,40,32,0.0625,0.0625,0.5,34,0.7058823529411765,0.47058823529411764,1.0
Netherlands vs France,3930173,40,29,0.20689655172413793,0.20689655172413793,0.6666666666666666,40,0.75,0.575,0.9565217391304348
Spain vs Italy,3930172,40,32,0.15625,0.15625,0.8,39,0.6410256410256411,0.46153846153846156,0.9444444444444444
Croatia vs Albania,3930167,40,31,0.25806451612903225,0.3225806451612903,0.7,37,0.7837837837837838,0.7297297297297297,0.9629629629629629
Germany vs Hungary,3930168,40,37,0.24324324324324326,0.21621621621621623,0.75,39,0.8205128205128205,0.6666666666666666,0.9230769230769231
Austria vs France,3930165,40,28,0.17857142857142858,0.17857142857142858,0.8,35,0.7428571428571429,0.42857142857142855,0.9333333333333333
Belgium vs Slovakia,3930164,40,29,0.1724137931034483,0.1724137931034483,0.8,39,0.6410256410256411,0.41025641025641024,0.875
Italy vs Albania,3930161,40,31,0.0967741935483871,0.12903225806451613,0.75,38,0.8157894736842105,0.631578947368421,1.0
Slovakia vs Romania,3930183,40,27,0.14814814814814814,0.07407407407407407,1.0,34,0.6176470588235294,0.38235294117647056,0.9230769230769231
Belgium vs Romania,3930175,40,24,0.16666666666666666,0.16666666666666666,0.75,35,0.7142857142857143,0.5142857142857142,0.9444444444444444
Germany vs Scotland,3930158,40,32,0.3125,0.28125,1.0,38,0.7368421052631579,0.631578947368421,0.9166666666666666
