player,team,primary_role,minutes_played,passes_total,passes_analysed,coverage_pct,gravity_hull_pct,gravity_proximity_pct,gravity_composite_pct,gravity_n,gravity_directional_m,gravity_directional_n,passes_op,lb_geom,lb_epv,lb_quality,epv_added_sum,epv_added_mean,defenders_bypassed_mean,between_lines_n,hull_penetration_n,pressure_resistance_n,lb_geom_pct,lb_epv_pct,lb_quality_pct,between_lines_pct,hull_exit_n,hull_exit_pct,hull_penetration_pct,pressure_resistance_pct,epv_penetration_mean,epv_penetration_sum,penetration_n,epv_inside_circ_mean,epv_inside_circ_sum,inside_circ_n,lb_geom_per90,lb_epv_per90,lb_quality_per90,epv_added_per90,epv_penetration_per90,epv_inside_circ_per90,penetration_per90,inside_circ_per90,between_lines_per90,successful_hull_exits_per90,successful_hull_penetrations_per90,macro_role
Theo Bernard François Hernández,France,Left Back,587,392,308,78.57142857142857,-3.3217632523154013,-14.66022692573242,-8.990995089023912,275,-2.348545817040235,242,279.0,8.0,31.0,5.0,2.6494351579999953,0.009496183362007152,0.8888888888888888,20.0,259.0,6.0,2.867383512544803,11.11111111111111,1.7921146953405016,7.168458781362006,20.0,40.0,9.652509652509652,66.66666666666666,0.05294784560761898,1.8531745962666644,35.0,0.004088742424242372,0.044976166666666095,11.0,1.2265758091993186,4.75298126064736,0.766609880749574,0.4062166341056211,0.28413239125042555,0.006895834752981174,5.366269165247019,1.686541737649063,3.066439522998296,1.2265758091993186,3.83304940374787,FB
Granit Xhaka,Switzerland,Left Defensive Midfield,489,405,375,92.5925925925926,2.434090029347128,9.546229776532762,5.990159902939944,369,2.408931226785638,348,329.0,18.0,44.0,11.0,0.824712650166665,0.0025067253804457903,1.127659574468085,131.0,198.0,6.0,5.47112462006079,13.37386018237082,3.343465045592705,39.81762917933131,131.0,76.33587786259542,14.646464646464647,100.0,0.00723473888888883,0.2170421666666649,30.0,0.006006439999999969,0.1501609999999992,25.0,3.3128834355828225,8.098159509202453,2.0245398773006134,0.15178760432515306,0.039946411042944455,0.02763699386503053,5.521472392638037,4.601226993865031,24.11042944785276,18.404907975460123,5.337423312883436,MID
Joshua Kimmich,Germany,Right Back,486,411,353,85.88807785888078,-1.8745741988320888,-4.20678334753936,-3.0406787731857245,295,-1.1061465802287085,286,309.0,13.0,45.0,11.0,4.571320122066665,0.01479391625264293,1.0776699029126213,28.0,281.0,1.0,4.207119741100324,14.563106796116504,3.559870550161812,9.06148867313916,28.0,64.28571428571429,10.676156583629894,100.0,0.045690108987698354,1.9189845774833307,42.0,0.005123055555555528,0.03073833333333317,6.0,2.4074074074074074,8.333333333333332,2.037037037037037,0.8465407633456788,0.35536751434876496,0.0056922839506172536,7.777777777777778,1.1111111111111112,5.185185185185185,3.333333333333333,5.555555555555555,FB
Stefan de Vrij,Netherlands,Right Center Back,553,418,344,82.29665071770334,0.079668097677621,-27.254026454788463,-13.587179178555424,325,-3.472207795340576,270,306.0,2.0,54.0,2.0,0.8758364409999913,0.002862210591503239,0.48366013071895425,10.0,296.0,2.0,0.6535947712418301,17.647058823529413,0.6535947712418301,3.2679738562091507,10.0,40.0,9.797297297297296,50.0,0.010368112745097961,0.3525158333333307,34.0,0.004178749999999925,0.0167149999999997,4.0,0.325497287522604,8.788426763110307,0.325497287522604,0.14254119292947415,0.05737147377938474,0.0027203435804701134,5.533453887884267,0.650994575045208,1.62748643761302,0.650994575045208,4.719710669077758,CB
Kléper Laveran Lima Ferreira,Portugal,Left Center Back,397,403,361,89.57816377171216,-5.327007289906701,-29.628255855267906,-17.477631572587303,342,-5.197442551427765,323,333.0,1.0,25.0,1.0,0.37074522499999557,0.0011133490240240107,0.3003003003003003,5.0,328.0,0.0,0.3003003003003003,7.5075075075075075,0.3003003003003003,1.5015015015015014,5.0,20.0,6.402439024390244,,0.0033066458333332878,0.0793594999999989,24.0,0.0004148333333333333,0.0012445,3.0,0.22670025188916876,5.667506297229219,0.22670025188916876,0.08404803589420555,0.01799081863979824,0.0002821284634760705,5.44080604534005,0.6801007556675063,1.1335012594458438,0.22670025188916876,4.7607052896725435,CB
Antonio Rüdiger,Germany,Right Center Back,488,409,368,89.97555012224939,7.029115748409394,-27.851012000375285,-10.410948125982948,329,-2.901566354333084,296,340.0,15.0,78.0,14.0,3.157255558066659,0.009286045759019585,0.7323529411764705,5.0,335.0,1.0,4.411764705882353,22.941176470588236,4.117647058823529,1.4705882352941175,5.0,0.0,7.761194029850746,0.0,0.014322487283950565,0.3867071566666652,27.0,0.0006315333333332864,0.003157666666666432,5.0,2.7663934426229506,14.385245901639346,2.581967213114754,0.5822807381680314,0.07131894282786859,0.0005823565573770059,4.979508196721311,0.9221311475409836,0.9221311475409836,0.0,4.795081967213115,CB
Aurélien Djani Tchouaméni,France,Center Defensive Midfield,476,381,333,87.4015748031496,-0.174359031479528,-7.9926636960421185,-4.083511363760823,332,-0.9232752338378653,304,302.0,14.0,57.0,10.0,1.8811125119499954,0.006228849377317865,0.7980132450331126,31.0,271.0,2.0,4.635761589403973,18.874172185430464,3.3112582781456954,10.264900662251655,31.0,61.29032258064516,15.498154981549817,100.0,0.014108343124637645,0.6489837837333317,46.0,0.004872196969696954,0.0535941666666665,11.0,2.6470588235294117,10.777310924369749,1.8907563025210086,0.355672533772058,0.12270701793277279,0.010133350840336102,8.69747899159664,2.0798319327731094,5.8613445378151265,3.5924369747899156,7.9411764705882355,MID
Rúben Santos Gato Alves Dias,Portugal,Right Center Back,422,406,347,85.4679802955665,-0.3539641752915514,-22.728016184143,-11.540990179717278,308,-4.216546752609715,293,311.0,2.0,32.0,2.0,0.5796924866666596,0.0018639629796355615,0.43086816720257237,3.0,308.0,0.0,0.6430868167202572,10.289389067524116,0.6430868167202572,0.964630225080386,3.0,33.33333333333333,8.766233766233766,,0.0073065444444443935,0.2191963333333318,30.0,0.0017139999999999,0.0017139999999999,1.0,0.4265402843601896,6.8246445497630335,0.4265402843601896,0.1236310990521312,0.04674803317535512,0.0003655450236966611,6.398104265402844,0.2132701421800948,0.6398104265402843,0.2132701421800948,5.758293838862559,CB
Nuno Mendes,Portugal,Left Back,421,365,285,78.08219178082192,-2.5810888093951885,-16.02324162986562,-9.302165219630403,262,-2.050350290163815,229,250.0,4.0,29.0,2.0,1.605950567469664,0.006423802269878656,0.796,13.0,237.0,2.0,1.6,11.600000000000001,0.8,5.2,13.0,61.53846153846154,8.860759493670885,0.0,0.03102337499999996,0.8686544999999989,28.0,0.02931461111111107,0.08794383333333321,3.0,0.8551068883610452,6.199524940617577,0.4275534441805226,0.3433148481526597,0.18569811163895464,0.01880034441805223,5.985748218527316,0.6413301662707839,2.7790973871733966,1.7102137767220904,4.489311163895487,FB
Marc Cucurella Saseta,Spain,Left Back,555,367,294,80.10899182561307,-4.413262251125408,-10.601489391611208,-7.507375821368308,282,-1.723792993661071,264,242.0,6.0,40.0,4.0,1.397639780133333,0.0057753709922865,0.8099173553719008,19.0,223.0,1.0,2.479338842975207,16.528925619834713,1.6528925619834711,7.851239669421488,19.0,63.1578947368421,15.246636771300448,100.0,0.021518326436666624,0.860733057466665,40.0,0.0017725238095238,0.0124076666666666,7.0,0.972972972972973,6.486486486486487,0.6486486486486487,0.2266442886702702,0.13957833364324296,0.0020120540540540435,6.486486486486487,1.135135135135135,3.0810810810810807,1.945945945945946,5.513513513513513,FB
Jules Koundé,France,Right Back,583,399,326,81.70426065162907,-6.112320480069435,-17.056232180086397,-11.584276330077914,310,-0.9651883287655468,265,245.0,9.0,31.0,6.0,3.543125612916663,0.014461737195578217,0.9551020408163265,23.0,222.0,3.0,3.6734693877551026,12.653061224489795,2.4489795918367347,9.387755102040817,23.0,65.21739130434783,15.315315315315313,0.0,0.037750778572694994,1.7742865929166647,47.0,0.00499099999999998,0.0249549999999999,5.0,1.3893653516295026,4.785591766723842,0.9262435677530018,0.5469662181174951,0.27390359067324155,0.003852401372212678,7.25557461406518,0.7718696397941681,3.550600343053173,2.3156089193825045,5.2487135506003435,FB
N'Golo Kanté,France,Right Center Midfield,519,323,297,91.95046439628484,1.804135269513956,15.42355909348436,8.613847181499159,291,2.71485084756746,258,279.0,9.0,39.0,5.0,1.1157678944333325,0.0039991680804062095,0.942652329749104,112.0,167.0,12.0,3.225806451612903,13.978494623655912,1.7921146953405016,40.14336917562724,112.0,66.07142857142857,10.179640718562874,58.333333333333336,0.016703558333333278,0.3340711666666656,20.0,0.013398583333333313,0.37516033333333276,28.0,1.5606936416184969,6.7630057803468215,0.8670520231213872,0.19348576204046228,0.05793141618497091,0.06505670520231203,3.4682080924855487,4.855491329479769,19.421965317919074,12.83236994219653,2.947976878612717,MID
Dayotchanculle Upamecano,France,Right Center Back,585,362,297,82.04419889502762,2.937965607271296,-23.18933708404663,-10.125685738387666,273,-3.1664129024042147,260,267.0,3.0,44.0,2.0,0.4916887999999956,0.0018415310861423055,0.5093632958801498,12.0,255.0,1.0,1.1235955056179776,16.479400749063668,0.7490636704119851,4.49438202247191,12.0,33.33333333333333,10.196078431372548,100.0,0.007025761904761864,0.1967213333333322,28.0,0.00170152777777775,0.0102091666666665,6.0,0.46153846153846156,6.769230769230769,0.3076923076923077,0.0756444307692301,0.030264820512820336,0.001570641025641,4.307692307692308,0.9230769230769231,1.8461538461538463,0.6153846153846154,4.0,CB
Virgil van Dijk,Netherlands,Left Center Back,553,384,311,80.98958333333334,-4.037570241167758,-27.263888332399663,-15.650729286783712,281,-2.944779193396309,264,252.0,4.0,35.0,4.0,0.6620821008833281,0.002627309924140191,0.5238095238095238,8.0,244.0,0.0,1.5873015873015872,13.88888888888889,1.5873015873015872,3.1746031746031744,8.0,37.5,11.475409836065573,,0.003319405555555503,0.0995821666666651,30.0,0.004519874999999925,0.0180794999999997,4.0,0.650994575045208,5.69620253164557,0.650994575045208,0.10775296397739517,0.01620686256781168,0.0029424141048824104,4.882459312839059,0.650994575045208,1.301989150090416,0.488245931283906,4.556962025316456,CB
William Saliba,France,Left Center Back,583,365,297,81.36986301369863,3.0690723515260263,-31.31826131628609,-14.12459448238003,269,-3.7195691943114886,264,268.0,0.0,25.0,0.0,0.3519386666666615,0.0013132039800994833,0.3619402985074627,12.0,256.0,3.0,0.0,9.328358208955224,0.0,4.477611940298507,12.0,33.33333333333333,11.71875,100.0,0.0069917676767676275,0.2307283333333317,33.0,0.0031439374999999623,0.0251514999999997,8.0,0.0,3.8593481989708405,0.0,0.054330154373927166,0.03561843910806149,0.0038827358490565577,5.09433962264151,1.234991423670669,1.8524871355060035,0.6174957118353345,4.631217838765009,CB
Bukayo Saka,England,Right Wing,626,270,229,84.81481481481481,-3.675550371921047,13.771364553465158,5.047907090772056,216,1.8712230586124532,190,214.0,20.0,35.0,13.0,4.1340871151666665,0.019318164089563862,1.6261682242990654,48.0,166.0,11.0,9.345794392523365,16.355140186915886,6.074766355140187,22.429906542056074,48.0,47.91666666666667,25.301204819277107,63.63636363636363,0.039717587967295576,2.1050321622666655,53.0,0.01582865833333333,0.31657316666666657,20.0,2.8753993610223643,5.031948881789138,1.8690095846645367,0.5943575724680511,0.3026404067156548,0.045513714057507974,7.619808306709266,2.8753993610223643,6.900958466453674,3.306709265175719,6.038338658146965,WIDE
Robin Aime Robert Le Normand,Spain,Right Center Back,451,351,310,88.31908831908832,-3.6015338333573084,-39.862957857945794,-21.732245845651548,293,-5.820121363141499,269,279.0,3.0,37.0,3.0,0.6522919362499964,0.0023379639292114567,0.30824372759856633,5.0,274.0,1.0,1.0752688172043012,13.261648745519713,1.0752688172043012,1.7921146953405016,5.0,60.0,8.394160583941606,0.0,0.015506794871794839,0.4031766666666658,26.0,0.0042836666666666,0.0042836666666666,1.0,0.5986696230598669,7.383592017738359,0.5986696230598669,0.1301691225332587,0.08045654101995549,0.00085483370288247,5.188470066518847,0.19955654101995565,0.9977827050997784,0.5986696230598669,4.58980044345898,CB
Vitor Machado Ferreira,Portugal,Right Defensive Midfield,353,326,294,90.1840490797546,3.018590462062579,15.346449952883315,9.182520207472946,291,1.596515812369863,275,276.0,10.0,25.0,6.0,1.5861778925666676,0.00574702134987923,1.1884057971014492,73.0,203.0,14.0,3.6231884057971016,9.057971014492754,2.1739130434782608,26.44927536231884,73.0,67.12328767123287,15.763546798029557,85.71428571428571,0.010581930555555527,0.38094949999999894,36.0,0.016659035087719307,0.3165216666666668,19.0,2.54957507082153,6.373937677053824,1.529745042492918,0.40440796127762063,0.09712593484419237,0.08069957507082157,9.178470254957507,4.8441926345609065,18.611898016997166,12.492917847025497,8.158640226628895,MID
Kieran Trippier,England,Left Back,498,353,280,79.3201133144476,2.779732359939247,-18.696589602843137,-7.958428621451945,250,-1.9560661684258247,230,239.0,8.0,24.0,5.0,2.3200167558666642,0.009707183078940017,0.8284518828451883,7.0,232.0,2.0,3.3472803347280333,10.0418410041841,2.092050209205021,2.928870292887029,7.0,85.71428571428571,12.931034482758621,100.0,0.033159513513513456,1.226901999999998,37.0,,,,1.4457831325301203,4.337349397590362,0.9036144578313253,0.41928013660240915,0.22172927710843338,,6.686746987951807,,1.2650602409638554,1.0843373493975905,5.421686746987952,FB
Jerdy Schouten,Netherlands,Right Defensive Midfield,515,328,288,87.8048780487805,2.205388605191077,10.039367390283244,6.122377997737158,279,1.8450534407732968,252,266.0,11.0,32.0,6.0,0.6534733648833319,0.0024566667852756836,0.924812030075188,88.0,178.0,7.0,4.135338345864661,12.030075187969924,2.2556390977443606,33.08270676691729,88.0,67.04545454545455,14.04494382022472,85.71428571428571,0.005392729759615327,0.1402109737499985,26.0,0.012630839743589688,0.3284018333333319,26.0,1.9223300970873787,5.592233009708738,1.0485436893203883,0.11419922881456285,0.02450288861650459,0.05739061165048519,4.543689320388349,4.543689320388349,15.37864077669903,10.310679611650485,4.368932038834951,MID
Giovanni Di Lorenzo,Italy,Right Back,369,321,255,79.43925233644859,2.834791260350773,-21.943945058183264,-9.554576898916247,193,-1.1535872168059953,222,227.0,6.0,27.0,4.0,1.6868877208333286,0.0074312234397943995,0.7973568281938326,6.0,221.0,2.0,2.643171806167401,11.894273127753303,1.762114537444934,2.643171806167401,6.0,16.666666666666664,25.339366515837103,50.0,0.014215281282051245,0.923993283333331,65.0,9.111444444440005e-05,0.00027334333333320013,3.0,1.4634146341463417,6.585365853658536,0.975609756097561,0.41143602947154356,0.2253642154471539,6.666910569102442e-05,15.853658536585364,0.7317073170731708,1.4634146341463417,0.24390243902439024,13.658536585365853,FB
Daniel Carvajal Ramos,Spain,Right Back,475,325,266,81.84615384615384,3.8570349047101926,-16.766756731889,-6.4548609135894015,257,-2.3485642836362985,235,218.0,7.0,33.0,5.0,1.6854642165833311,0.007731487232033629,0.8532110091743119,14.0,204.0,3.0,3.211009174311927,15.137614678899084,2.293577981651376,6.422018348623854,14.0,50.0,16.666666666666664,100.0,0.018040386178861757,0.7396558333333321,41.0,0.0012946904761904428,0.0090628333333331,7.0,1.3263157894736841,6.252631578947368,0.9473684210526315,0.3193511147210522,0.14014531578947345,0.0017171684210525874,7.768421052631578,1.3263157894736841,2.6526315789473682,1.3263157894736841,6.442105263157894,FB
Pierre-Emile Højbjerg,Denmark,Left Defensive Midfield,362,298,278,93.28859060402684,1.4399931141365865,7.941266131838053,4.69062962298732,274,1.5710988588821155,260,253.0,10.0,28.0,6.0,1.303946238116664,0.0051539377000658654,1.051383399209486,78.0,175.0,2.0,3.9525691699604746,11.067193675889328,2.371541501976284,30.8300395256917,78.0,51.28205128205128,16.57142857142857,100.0,0.01796978787878783,0.5930029999999984,33.0,0.0036686444444444166,0.1100593333333325,30.0,2.4861878453038675,6.961325966850828,1.4917127071823204,0.32418552881353524,0.14743168508287252,0.027362817679557803,8.204419889502763,7.458563535911602,19.392265193370164,9.94475138121547,7.209944751381216,MID
Bruno Miguel Borges Fernandes,Portugal,Center Attacking Midfield,379,296,266,89.86486486486487,-0.3910393618467999,14.553205622853822,7.081083130503511,254,2.8738849734602234,218,227.0,22.0,36.0,15.0,3.2209071814333345,0.014189018420411165,1.4669603524229076,69.0,158.0,7.0,9.691629955947137,15.859030837004406,6.607929515418502,30.396475770925107,69.0,57.971014492753625,11.39240506329114,57.14285714285714,0.06554686124999999,1.9008589762499999,29.0,0.0035633333333332964,0.06413999999999934,18.0,5.224274406332454,8.54881266490765,3.562005277044855,0.7648592251424805,0.451391313621372,0.015231134564643643,6.886543535620053,4.274406332453825,16.385224274406333,9.49868073878628,4.274406332453825,MID
Alessandro Bastoni,Italy,Right Center Back,373,336,281,83.63095238095238,0.6505033393327228,-19.73978568573589,-9.54464117320158,248,-2.206954304819684,253,242.0,9.0,40.0,9.0,1.0183295559999959,0.004207973371900809,0.8553719008264463,10.0,232.0,0.0,3.71900826446281,16.528925619834713,3.71900826446281,4.132231404958678,10.0,80.0,18.96551724137931,,0.007173173469387705,0.3514854999999975,49.0,0.0002275,0.0002275,1.0,2.171581769436997,9.651474530831099,2.171581769436997,0.24570954434316256,0.08480883378016026,5.4892761394101876e-05,11.823056300268098,0.24128686327077747,2.4128686327077746,1.9302949061662198,10.616621983914209,CB
Nicholas Williams Arthuer,Spain,Left Wing,492,221,176,79.63800904977376,1.9505007345976384,6.695555447697698,4.323028091147669,167,1.7522770884095509,136,160.0,18.0,18.0,11.0,3.446714693183335,0.021541966832395842,1.45625,48.0,112.0,5.0,11.25,11.25,6.875000000000001,30.0,48.0,62.5,16.964285714285715,100.0,0.08095309139784945,2.509545833333333,31.0,0.008441677083333324,0.1350668333333332,16.0,3.292682926829268,3.292682926829268,2.0121951219512195,0.6304965902164638,0.4590632621951219,0.024707347560975583,5.670731707317072,2.9268292682926833,8.78048780487805,5.48780487804878,3.475609756097561,WIDE
Lamine Yamal Nasraoui Ebana,Spain,Right Wing,507,205,170,82.92682926829268,3.582287790455956,11.93997341643032,7.761130603443136,157,0.4863911231360973,128,162.0,20.0,27.0,10.0,3.7073361920499988,0.02288479130895061,1.617283950617284,35.0,127.0,14.0,12.345679012345679,16.666666666666664,6.172839506172839,21.604938271604937,35.0,45.714285714285715,25.984251968503933,57.14285714285714,0.037166260176950336,1.7468142283166657,47.0,0.0171318621078431,0.2912416558333327,17.0,3.5502958579881656,4.792899408284024,1.7751479289940828,0.6581070163402365,0.3100853659733726,0.05169970221893481,8.34319526627219,3.0177514792899407,6.21301775147929,2.840236686390533,5.8579881656804735,WIDE
Manuel Obafemi Akanji,Switzerland,Center Back,477,332,292,87.95180722891565,1.887632846219322,-19.929642810206936,-9.021004981993809,259,-1.4793201224615795,264,246.0,6.0,40.0,6.0,0.3127574234999966,0.0012713716402438886,0.7845528455284553,12.0,234.0,0.0,2.4390243902439024,16.260162601626014,2.4390243902439024,4.878048780487805,12.0,50.0,16.666666666666664,,0.0041784791666666125,0.1671391666666645,40.0,0.002171041666666625,0.0086841666666665,4.0,1.1320754716981132,7.547169811320755,1.1320754716981132,0.05901083462264087,0.03153569182389897,0.0016385220125785848,7.547169811320755,0.7547169811320755,2.2641509433962264,1.1320754716981132,7.3584905660377355,CB
Tijjani Reijnders,Netherlands,Left Defensive Midfield,501,269,245,91.07806691449817,5.86775392403373,11.12346583660693,8.49560988032033,244,2.3248748397769474,222,233.0,17.0,32.0,11.0,0.6496815516999996,0.0027883328399141614,0.9656652360515021,80.0,153.0,8.0,7.296137339055794,13.733905579399142,4.721030042918455,34.33476394849785,80.0,76.25,3.9215686274509802,87.5,0.008536499999999975,0.0682919999999998,8.0,0.0009924444444444332,0.014886666666666496,15.0,3.0538922155688626,5.748502994011975,1.9760479041916168,0.11670926078443107,0.012268023952095773,0.0026742514970059575,1.4371257485029938,2.694610778443114,14.37125748502994,10.95808383233533,1.0778443113772456,MID
Nicolò Barella,Italy,Left Center Midfield,345,267,235,88.01498127340824,4.425131517051027,11.032040833228416,7.72858617513972,227,1.1247874445414692,226,226.0,8.0,18.0,5.0,1.367476603466667,0.006050781431268438,0.9911504424778761,66.0,160.0,5.0,3.5398230088495577,7.964601769911504,2.2123893805309733,29.20353982300885,66.0,65.15151515151516,15.625,60.0,0.008336467948717903,0.2167481666666655,26.0,0.0010677352941176352,0.0181514999999998,17.0,2.0869565217391304,4.695652173913043,1.3043478260869565,0.3567330269913044,0.0565429999999997,0.004735173913043426,6.782608695652175,4.434782608695652,17.217391304347828,11.217391304347826,6.521739130434783,MID
