match_id,team,player_id,player,primary_role,minutes_played,total_touches,passes_attempted,passes_successful,passes_failed,pass_completion_pct,passes_under_pressure,avg_dist_all_passes,avg_dist_successful,avg_dist_failed,through_balls,switches_of_play,crosses,assists,key_passes,carries,shots,shots_on_target,goals,xg_total,dribbles_attempted,dribbles_successful,ball_recoveries,interceptions,tackles_won,aerial_won,clearances,blocks,fouls_committed,fouls_won,dispossessed,miscontrols
3938642,Georgia,102371.0,Giorgi Mamardashvili,Goalkeeper,92,91,32,12,20,37.5,2,54.42,36.32,65.27,0,1,0,0,0,13,0,0,0,0.0,0,0,6,0,0,0,0,0,0,0,0,0
3938642,Georgia,7839.0,Guram Kashia,Center Back,94,98,31,25,6,80.6,2,21.93,19.81,30.78,0,0,0,0,0,21,0,0,0,0.0,0,0,3,1,0,0,8,5,1,0,0,1
3938642,Georgia,22242.0,Heorhii Tsitaishvili,Left Wing Back,61,74,20,14,6,70.0,0,16.39,13.58,22.95,0,0,3,0,0,21,0,0,0,0.0,4,1,4,0,0,0,0,1,0,0,1,0
3938642,Georgia,38229.0,Khvicha Kvaratskhelia,Left Wing,80,111,19,14,5,73.7,2,21.73,15.94,37.92,1,1,2,0,1,28,1,0,0,0.023518495,7,3,3,0,0,0,0,1,2,3,3,2
3938642,Georgia,7655.0,Lasha Dvali,Left Center Back,94,120,35,27,8,77.1,1,20.5,19.93,22.43,0,0,0,0,0,26,0,0,0,0.0,0,0,4,0,0,0,6,5,0,0,1,0
3938642,Georgia,48178.0,Luka Lochoshvili,Left Wing Back,24,29,9,6,3,66.7,3,23.87,16.91,37.78,0,1,1,0,0,6,0,0,0,0.0,0,0,1,0,0,0,6,1,0,0,0,0
3938642,Georgia,25036.0,Otar Kakabadze,Right Wing Back,89,132,40,28,12,70.0,6,15.37,15.04,16.14,0,0,1,0,0,27,1,0,0,0.012979693,1,0,4,0,1,0,3,4,1,0,0,1
3938642,Georgia,16005.0,Solomon Kverkvelia,Right Center Back,78,95,29,24,5,82.8,2,18.07,17.67,19.98,0,1,0,0,0,21,0,0,0,0.0,0,0,4,0,0,0,11,2,0,1,1,0
3938642,Georgia,44183.0,Zuriko Davitashvili,Right Wing,61,111,18,16,2,88.9,3,16.38,12.29,49.12,0,0,0,0,0,26,0,0,0,0.0,1,0,2,1,1,0,0,3,0,3,2,6
3938643,France,3026.0,Adrien Rabiot,Left Center Midfield,59,142,42,37,5,88.1,6,13.53,12.86,18.45,0,0,0,0,0,34,0,0,0,0.0,0,0,1,0,0,0,0,1,2,0,2,1
3938643,France,5487.0,Antoine Griezmann,Right Center Midfield,31,46,11,7,4,63.6,2,27.22,19.21,41.24,0,3,2,0,2,6,1,0,0,0.04413893,0,0,2,0,0,0,1,3,0,0,0,1
3938643,France,10481.0,Aurélien Djani Tchouaméni,Center Defensive Midfield,80,159,47,42,5,89.4,7,20.68,20.84,19.31,0,3,0,0,0,37,2,0,0,0.064202599,0,0,2,0,0,0,0,1,3,4,1,0
3938643,France,39420.0,Bradley Barcola,Left Wing,59,116,23,21,2,91.3,8,14.39,14.38,14.43,0,0,2,0,2,30,1,1,0,0.019646157,2,0,0,0,2,0,0,3,1,3,1,2
3938643,France,8519.0,Dayotchanculle Upamecano,Right Center Back,93,152,49,44,5,89.8,9,23.84,25.17,12.14,0,7,0,0,1,32,1,0,0,0.09202025,0,0,3,1,0,0,4,2,1,0,0,1
3938643,France,24778.0,Eduardo Camavinga,Left Center Midfield,31,62,14,11,3,78.6,3,16.22,17.08,13.1,0,0,0,0,0,15,0,0,0,0.0,0,0,1,0,0,0,0,0,3,2,1,0
3938643,France,4445.0,Jules Koundé,Right Back,92,197,66,58,8,87.9,8,14.71,14.7,14.79,0,0,1,0,3,52,0,0,0,0.0,1,0,3,1,0,0,0,4,1,1,1,0
