competition_id,team_season,team_id,team_name,fixtures_url,matchday,date,time,home_team_id,home_team_name,home_team_relative_url,away_team_id,away_team_name,away_team_relative_url,system_of_play,coach_name,coach_id,coach_relative_url,attendance,result,result_color,match_report_id,match_report_relative_url,match_report_url
EURO,2024,3377,France,https://www.transfermarkt.com/frankreich/spielplan/verein/3377/saison_id/2024/plus/1,Group D,Tue 25/06/2024,6:00 PM,3377,France,/frankreich/startseite/verein/3377/saison_id/2024,3442,Poland,/polen/startseite/verein/3442/saison_id/2024,4-3-3 Attacking,Didier Deschamps,1229,/didier-deschamps/profil/trainer/1229,59.728,1:1,,4235838,/spielbericht/index/spielbericht/4235838,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235838
EURO,2024,3377,France,https://www.transfermarkt.com/frankreich/spielplan/verein/3377/saison_id/2024/plus/1,Round of 16,Mon 01/07/2024,6:00 PM,3377,France,/frankreich/startseite/verein/3377/saison_id/2024,3382,Belgium,/belgien/startseite/verein/3382/saison_id/2024,4-3-3 Attacking,Didier Deschamps,1229,/didier-deschamps/profil/trainer/1229,46.810,1:0,green,4359333,/spielbericht/index/spielbericht/4359333,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359333
EURO,2024,3379,Netherlands,https://www.transfermarkt.com/niederlande/spielplan/verein/3379/saison_id/2024/plus/1,Group D,Fri 21/06/2024,9:00 PM,3379,Netherlands,/niederlande/startseite/verein/3379/saison_id/2024,3377,France,/frankreich/startseite/verein/3377/saison_id/2024,4-3-3 Defending,Ronald Koeman,439,/ronald-koeman/profil/trainer/439,38.531,0:0,,4235826,/spielbericht/index/spielbericht/4235826,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235826
EURO,2024,3379,Netherlands,https://www.transfermarkt.com/niederlande/spielplan/verein/3379/saison_id/2024/plus/1,Group D,Tue 25/06/2024,6:00 PM,3379,Netherlands,/niederlande/startseite/verein/3379/saison_id/2024,3383,Austria,/osterreich/startseite/verein/3383/saison_id/2024,4-3-3 Defending,Ronald Koeman,439,/ronald-koeman/profil/trainer/439,68.363,2:3,red,4235837,/spielbericht/index/spielbericht/4235837,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235837
EURO,2024,3379,Netherlands,https://www.transfermarkt.com/niederlande/spielplan/verein/3379/saison_id/2024/plus/1,Quarter-Finals,Sat 06/07/2024,9:00 PM,3379,Netherlands,/niederlande/startseite/verein/3379/saison_id/2024,3381,Turkiye,/turkei/startseite/verein/3381/saison_id/2024,4-2-3-1,Ronald Koeman,439,/ronald-koeman/profil/trainer/439,70.091,2:1,green,4359339,/spielbericht/index/spielbericht/4359339,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359339
EURO,2024,3379,Netherlands,https://www.transfermarkt.com/niederlande/spielplan/verein/3379/saison_id/2024/plus/1,Semi-Finals,Wed 10/07/2024,9:00 PM,3379,Netherlands,/niederlande/startseite/verein/3379/saison_id/2024,3299,England,/england/startseite/verein/3299/saison_id/2024,4-2-3-1,Ronald Koeman,439,/ronald-koeman/profil/trainer/439,60.926,1:2,red,4359341,/spielbericht/index/spielbericht/4359341,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359341
EURO,2024,3380,Scotland,https://www.transfermarkt.com/schottland/spielplan/verein/3380/saison_id/2024/plus/1,Group A,Wed 19/06/2024,9:00 PM,3380,Scotland,/schottland/startseite/verein/3380/saison_id/2024,3384,Switzerland,/schweiz/startseite/verein/3384/saison_id/2024,3-4-1-2,Steve Clarke,2638,/steve-clarke/profil/trainer/2638,42.711,1:1,,4235820,/spielbericht/index/spielbericht/4235820,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235820
EURO,2024,3380,Scotland,https://www.transfermarkt.com/schottland/spielplan/verein/3380/saison_id/2024/plus/1,Group A,Sun 23/06/2024,9:00 PM,3380,Scotland,/schottland/startseite/verein/3380/saison_id/2024,3468,Hungary,/ungarn/startseite/verein/3468/saison_id/2024,3-4-2-1,Steve Clarke,2638,/steve-clarke/profil/trainer/2638,54.000,0:1,red,4235831,/spielbericht/index/spielbericht/4235831,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235831
EURO,2024,3381,Turkiye,https://www.transfermarkt.com/turkei/spielplan/verein/3381/saison_id/2024/plus/1,Group F,Tue 18/06/2024,6:00 PM,3381,Turkiye,/turkei/startseite/verein/3381/saison_id/2024,3669,Georgia,/georgien/startseite/verein/3669/saison_id/2024,4-2-3-1,Vincenzo Montella,11795,/vincenzo-montella/profil/trainer/11795,59.127,3:1,green,4235817,/spielbericht/index/spielbericht/4235817,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235817
EURO,2024,3381,Turkiye,https://www.transfermarkt.com/turkei/spielplan/verein/3381/saison_id/2024/plus/1,Group F,Sat 22/06/2024,6:00 PM,3381,Turkiye,/turkei/startseite/verein/3381/saison_id/2024,3300,Portugal,/portugal/startseite/verein/3300/saison_id/2024,4-2-3-1,Vincenzo Montella,11795,/vincenzo-montella/profil/trainer/11795,61.047,0:3,red,4235829,/spielbericht/index/spielbericht/4235829,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235829
EURO,2024,3382,Belgium,https://www.transfermarkt.com/belgien/spielplan/verein/3382/saison_id/2024/plus/1,Group E,Mon 17/06/2024,6:00 PM,3382,Belgium,/belgien/startseite/verein/3382/saison_id/2024,3503,Slovakia,/slowakei/startseite/verein/3503/saison_id/2024,4-2-3-1,Domenico Tedesco,30857,/domenico-tedesco/profil/trainer/30857,45.181,0:1,red,4235815,/spielbericht/index/spielbericht/4235815,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235815
EURO,2024,3382,Belgium,https://www.transfermarkt.com/belgien/spielplan/verein/3382/saison_id/2024/plus/1,Group E,Sat 22/06/2024,9:00 PM,3382,Belgium,/belgien/startseite/verein/3382/saison_id/2024,3447,Romania,/rumanien/startseite/verein/3447/saison_id/2024,4-2-3-1,Domenico Tedesco,30857,/domenico-tedesco/profil/trainer/30857,42.535,2:0,green,4235828,/spielbericht/index/spielbericht/4235828,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235828
EURO,2024,3383,Austria,https://www.transfermarkt.com/osterreich/spielplan/verein/3383/saison_id/2024/plus/1,Group D,Mon 17/06/2024,9:00 PM,3383,Austria,/osterreich/startseite/verein/3383/saison_id/2024,3377,France,/frankreich/startseite/verein/3377/saison_id/2024,4-2-3-1,Ralf Rangnick,196,/ralf-rangnick/profil/trainer/196,46.425,0:1,red,4235814,/spielbericht/index/spielbericht/4235814,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235814
EURO,2024,3383,Austria,https://www.transfermarkt.com/osterreich/spielplan/verein/3383/saison_id/2024/plus/1,Round of 16,Tue 02/07/2024,9:00 PM,3383,Austria,/osterreich/startseite/verein/3383/saison_id/2024,3381,Turkiye,/turkei/startseite/verein/3381/saison_id/2024,4-2-3-1,Ralf Rangnick,196,/ralf-rangnick/profil/trainer/196,38.305,1:2,red,4359335,/spielbericht/index/spielbericht/4359335,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359335
EURO,2024,3384,Switzerland,https://www.transfermarkt.com/schweiz/spielplan/verein/3384/saison_id/2024/plus/1,Group A,Sun 23/06/2024,9:00 PM,3384,Switzerland,/schweiz/startseite/verein/3384/saison_id/2024,3262,Germany,/deutschland/startseite/verein/3262/saison_id/2024,3-4-2-1,Murat Yakin,3240,/murat-yakin/profil/trainer/3240,46.685,1:1,,4235832,/spielbericht/index/spielbericht/4235832,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235832
EURO,2024,3384,Switzerland,https://www.transfermarkt.com/schweiz/spielplan/verein/3384/saison_id/2024/plus/1,Round of 16,Sat 29/06/2024,6:00 PM,3384,Switzerland,/schweiz/startseite/verein/3384/saison_id/2024,3376,Italy,/italien/startseite/verein/3376/saison_id/2024,3-4-2-1,Murat Yakin,3240,/murat-yakin/profil/trainer/3240,68.172,2:0,green,4365408,/spielbericht/index/spielbericht/4365408,https://www.transfermarkt.com/spielbericht/index/spielbericht/4365408
EURO,2024,3436,Denmark,https://www.transfermarkt.com/danemark/spielplan/verein/3436/saison_id/2024/plus/1,Group C,Thu 20/06/2024,6:00 PM,3436,Denmark,/danemark/startseite/verein/3436/saison_id/2024,3299,England,/england/startseite/verein/3299/saison_id/2024,3-4-1-2,Kasper Hjulmand,5372,/kasper-hjulmand/profil/trainer/5372,46.177,1:1,,4235824,/spielbericht/index/spielbericht/4235824,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235824
EURO,2024,3436,Denmark,https://www.transfermarkt.com/danemark/spielplan/verein/3436/saison_id/2024/plus/1,Group C,Tue 25/06/2024,9:00 PM,3436,Denmark,/danemark/startseite/verein/3436/saison_id/2024,3438,Serbia,/serbien/startseite/verein/3438/saison_id/2024,3-4-1-2,Kasper Hjulmand,5372,/kasper-hjulmand/profil/trainer/5372,64.288,0:0,,4235835,/spielbericht/index/spielbericht/4235835,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235835
EURO,2024,3438,Serbia,https://www.transfermarkt.com/serbien/spielplan/verein/3438/saison_id/2024/plus/1,Group C,Sun 16/06/2024,9:00 PM,3438,Serbia,/serbien/startseite/verein/3438/saison_id/2024,3299,England,/england/startseite/verein/3299/saison_id/2024,3-4-1-2,Dragan Stojkovic,5528,/dragan-stojkovic/profil/trainer/5528,48.953,0:1,red,4235812,/spielbericht/index/spielbericht/4235812,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235812
EURO,2024,3442,Poland,https://www.transfermarkt.com/polen/spielplan/verein/3442/saison_id/2024/plus/1,Group D,Sun 16/06/2024,3:00 PM,3442,Poland,/polen/startseite/verein/3442/saison_id/2024,3379,Netherlands,/niederlande/startseite/verein/3379/saison_id/2024,3-5-2 flat,Michal Probierz,3623,/michal-probierz/profil/trainer/3623,48.117,1:2,red,4235813,/spielbericht/index/spielbericht/4235813,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235813
EURO,2024,3442,Poland,https://www.transfermarkt.com/polen/spielplan/verein/3442/saison_id/2024/plus/1,Group D,Fri 21/06/2024,6:00 PM,3442,Poland,/polen/startseite/verein/3442/saison_id/2024,3383,Austria,/osterreich/startseite/verein/3383/saison_id/2024,3-5-2 flat,Michal Probierz,3623,/michal-probierz/profil/trainer/3623,69.455,1:3,red,4235825,/spielbericht/index/spielbericht/4235825,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235825
EURO,2024,3445,Czechia,https://www.transfermarkt.com/tschechien/spielplan/verein/3445/saison_id/2024/plus/1,Group F,Wed 26/06/2024,9:00 PM,3445,Czechia,/tschechien/startseite/verein/3445/saison_id/2024,3381,Turkiye,/turkei/startseite/verein/3381/saison_id/2024,3-4-2-1,Ivan Hasek,3263,/ivan-hasek/profil/trainer/3263,47.683,1:2,red,4235842,/spielbericht/index/spielbericht/4235842,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235842
EURO,2024,3447,Romania,https://www.transfermarkt.com/rumanien/spielplan/verein/3447/saison_id/2024/plus/1,Group E,Mon 17/06/2024,3:00 PM,3447,Romania,/rumanien/startseite/verein/3447/saison_id/2024,3699,Ukraine,/ukraine/startseite/verein/3699/saison_id/2024,4-3-3 Attacking,Edward Iordănescu,22740,/edward-iordanescu/profil/trainer/22740,61.591,3:0,green,4235816,/spielbericht/index/spielbericht/4235816,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235816
EURO,2024,3447,Romania,https://www.transfermarkt.com/rumanien/spielplan/verein/3447/saison_id/2024/plus/1,Round of 16,Tue 02/07/2024,6:00 PM,3447,Romania,/rumanien/startseite/verein/3447/saison_id/2024,3379,Netherlands,/niederlande/startseite/verein/3379/saison_id/2024,4-1-4-1,Edward Iordănescu,22740,/edward-iordanescu/profil/trainer/22740,65.012,0:3,red,4359334,/spielbericht/index/spielbericht/4359334,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359334
EURO,2024,3468,Hungary,https://www.transfermarkt.com/ungarn/spielplan/verein/3468/saison_id/2024/plus/1,Group A,Sat 15/06/2024,3:00 PM,3468,Hungary,/ungarn/startseite/verein/3468/saison_id/2024,3384,Switzerland,/schweiz/startseite/verein/3384/saison_id/2024,3-4-2-1,Marco Rossi,16090,/marco-rossi/profil/trainer/16090,41.676,1:3,red,4235808,/spielbericht/index/spielbericht/4235808,https://www.transfermarkt.com/spielbericht/index/spielbericht/4235808
